Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.01332542],[2.66511],2401,-20,[15.57085321]
[0.03997602],[2.66511],2401,-20,[15.57085321]
[0.06662614],[2.66510936],2401,-20,[15.57085321]
[0.09327582],[2.66510862],2401,-20,[15.57085321]
[0.11992508],[2.66510788],2401,-20,[15.57085321]
[0.14657397],[2.66510714],2401,-20,[15.57085321]
[0.1732225],[2.6651064],2401,-20,[15.57085321]
[0.19987071],[2.66510566],2401,-20,[15.57085321]
[0.22651862],[2.66510492],2401,-20,[15.57085321]
[0.25316625],[2.66510418],2401,-20,[15.57085321]
[0.27981362],[2.66510344],2401,-20,[15.57085321]
[0.30646075],[2.6651027],2401,-20,[15.57085321]
[0.33310767],[2.66510196],2401,-20,[15.57085321]
[0.35975438],[2.66510122],2401,-20,[15.57085321]
[0.3864009],[2.66510048],2401,-20,[15.57085321]
[0.41304725],[2.66509974],2401,-20,[15.57085321]
[0.43969343],[2.66509899],2401,-20,[15.57085321]
[0.46633947],[2.66509825],2401,-20,[15.57085321]
[0.49298537],[2.66509751],2401,-20,[15.57085321]
[0.51963113],[2.66509677],2401,-20,[15.57085321]
[0.54627678],[2.66509603],2401,-20,[15.57085321]
[0.57292232],[2.66509529],2401,-20,[15.57085321]
[0.59956775],[2.66509455],2401,-20,[15.57085321]
[0.62621309],[2.66509381],2401,-20,[15.57085321]
[0.65285834],[2.66509307],2401,-20,[15.57085321]
[0.67950351],[2.66509233],2401,-20,[15.57085321]
[0.7061486],[2.66509159],2401,-20,[15.57085321]
[0.73279362],[2.66509085],2401,-20,[15.57085321]
[0.75943857],[2.66509011],2401,-20,[15.57085321]
[0.78608346],[2.66508937],2401,-20,[15.57085321]
[0.8127283],[2.66508862],2401,-20,[15.57085321]
[0.83937308],[2.66508788],2401,-20,[15.57085321]
[0.86601781],[2.66508714],2401,-20,[15.57085321]
[0.89266249],[2.6650864],2401,-20,[15.57085321]
[0.91930712],[2.66508566],2401,-20,[15.57085321]
[0.94595172],[2.66508492],2401,-20,[15.57085321]
[0.97259628],[2.66508418],2401,-20,[15.57085321]
[0.9992408],[2.66508344],2401,-20,[15.57085321]
[1.02588529],[2.6650827],2401,-20,[15.57085321]
[1.05252975],[2.66508196],2401,-20,[15.57085321]
[1.07917417],[2.66508122],2401,-20,[15.57085321]
[1.10581857],[2.66508047],2401,-20,[15.57085321]
[1.13246294],[2.66507973],2401,-20,[15.57085321]
