Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00761078],[1.52217],1301,10,[18.37434403]
[0.02283219],[1.52217],1301,10,[18.37434403]
[0.03805333],[1.52216964],1301,10,[18.37434403]
[0.05327422],[1.52216921],1301,10,[18.37434403]
[0.06849487],[1.52216879],1301,10,[18.37434403]
[0.0837153],[1.52216837],1301,10,[18.37434403]
[0.09893554],[1.52216794],1301,10,[18.37434403]
[0.11415559],[1.52216752],1301,10,[18.37434403]
[0.12937546],[1.5221671],1301,10,[18.37434403]
[0.14459518],[1.52216668],1301,10,[18.37434403]
[0.15981475],[1.52216625],1301,10,[18.37434403]
[0.17503419],[1.52216583],1301,10,[18.37434403]
[0.1902535],[1.52216541],1301,10,[18.37434403]
[0.20547269],[1.52216499],1301,10,[18.37434403]
[0.22069178],[1.52216456],1301,10,[18.37434403]
[0.23591076],[1.52216414],1301,10,[18.37434403]
[0.25112966],[1.52216372],1301,10,[18.37434403]
[0.26634846],[1.52216329],1301,10,[18.37434403]
[0.28156719],[1.52216287],1301,10,[18.37434403]
[0.29678585],[1.52216245],1301,10,[18.37434403]
[0.31200443],[1.52216203],1301,10,[18.37434403]
[0.32722295],[1.5221616],1301,10,[18.37434403]
[0.34244142],[1.52216118],1301,10,[18.37434403]
[0.35765983],[1.52216076],1301,10,[18.37434403]
[0.37287819],[1.52216033],1301,10,[18.37434403]
[0.3880965],[1.52215991],1301,10,[18.37434403]
[0.40331477],[1.52215949],1301,10,[18.37434403]
[0.41853299],[1.52215907],1301,10,[18.37434403]
[0.43375118],[1.52215864],1301,10,[18.37434403]
[0.44896934],[1.52215822],1301,10,[18.37434403]
[0.46418746],[1.5221578],1301,10,[18.37434403]
[0.47940555],[1.52215738],1301,10,[18.37434403]
[0.49462361],[1.52215695],1301,10,[18.37434403]
[0.50984164],[1.52215653],1301,10,[18.37434403]
[0.52505965],[1.52215611],1301,10,[18.37434403]
[0.54027764],[1.52215568],1301,10,[18.37434403]
[0.5554956],[1.52215526],1301,10,[18.37434403]
[0.57071354],[1.52215484],1301,10,[18.37434403]
[0.58593147],[1.52215442],1301,10,[18.37434403]
[0.60114937],[1.52215399],1301,10,[18.37434403]
[0.61636726],[1.52215357],1301,10,[18.37434403]
[0.63158513],[1.52215315],1301,10,[18.37434403]
[0.64680299],[1.52215272],1301,10,[18.37434403]
[0.66202083],[1.5221523],1301,10,[18.37434403]
[0.67723866],[1.52215188],1301,10,[18.37434403]
[0.69245648],[1.52215146],1301,10,[18.37434403]
[0.70767428],[1.52215103],1301,10,[18.37434403]
[0.72289207],[1.52215061],1301,10,[18.37434403]
[0.73810986],[1.52215019],1301,10,[18.37434403]
[0.75332763],[1.52214977],1301,10,[18.37434403]
[0.76854539],[1.52214934],1301,10,[18.37434403]
[0.78376314],[1.52214892],1301,10,[18.37434403]
[0.79898088],[1.5221485],1301,10,[18.37434403]
[0.81419861],[1.52214807],1301,10,[18.37434403]
[0.82941634],[1.52214765],1301,10,[18.37434403]
[0.84463405],[1.52214723],1301,10,[18.37434403]
[0.85985176],[1.52214681],1301,10,[18.37434403]
[0.87506946],[1.52214638],1301,10,[18.37434403]
[0.89028716],[1.52214596],1301,10,[18.37434403]
[0.90550485],[1.52214554],1301,10,[18.37434403]
[0.92072253],[1.52214511],1301,10,[18.37434403]
[0.9359402],[1.52214469],1301,10,[18.37434403]
