Vout,Iout,Irradiance,Temperature,MaxVoltage
[5.7299449e-06],[0.001146],1,-2,[0.22851328]
[1.71897288e-05],[0.001146],1,-2,[0.22851328]
[2.86493075e-05],[0.001146],1,-2,[0.22851328]
[4.01086952e-05],[0.001146],1,-2,[0.22851328]
[5.15679061e-05],[0.001146],1,-2,[0.22851328]
[6.30269536e-05],[0.001146],1,-2,[0.22851328]
[7.448585e-05],[0.001146],1,-2,[0.22851328]
[8.59446066e-05],[0.001146],1,-2,[0.22851328]
[9.74032341e-05],[0.001146],1,-2,[0.22851328]
[0.00010886],[0.001146],1,-2,[0.22851328]
[0.00012032],[0.001146],1,-2,[0.22851328]
[0.00013178],[0.001146],1,-2,[0.22851328]
[0.00014324],[0.001146],1,-2,[0.22851328]
[0.00015469],[0.001146],1,-2,[0.22851328]
[0.00016615],[0.001146],1,-2,[0.22851328]
[0.00017761],[0.001146],1,-2,[0.22851328]
[0.00018907],[0.001146],1,-2,[0.22851328]
[0.00020053],[0.00114599],1,-2,[0.22851328]
[0.00021198],[0.00114599],1,-2,[0.22851328]
[0.00022344],[0.00114599],1,-2,[0.22851328]
[0.0002349],[0.00114599],1,-2,[0.22851328]
[0.00024636],[0.00114599],1,-2,[0.22851328]
[0.00025781],[0.00114599],1,-2,[0.22851328]
[0.00026927],[0.00114599],1,-2,[0.22851328]
[0.00028073],[0.00114599],1,-2,[0.22851328]
[0.00029219],[0.00114599],1,-2,[0.22851328]
[0.00030364],[0.00114599],1,-2,[0.22851328]
[0.0003151],[0.00114599],1,-2,[0.22851328]
[0.00032656],[0.00114599],1,-2,[0.22851328]
[0.00033802],[0.00114599],1,-2,[0.22851328]
[0.00034947],[0.00114599],1,-2,[0.22851328]
[0.00036093],[0.00114599],1,-2,[0.22851328]
[0.00037239],[0.00114599],1,-2,[0.22851328]
[0.00038385],[0.00114599],1,-2,[0.22851328]
[0.0003953],[0.00114599],1,-2,[0.22851328]
[0.00040676],[0.00114599],1,-2,[0.22851328]
[0.00041822],[0.00114599],1,-2,[0.22851328]
[0.00042967],[0.00114599],1,-2,[0.22851328]
[0.00044113],[0.00114599],1,-2,[0.22851328]
[0.00045259],[0.00114599],1,-2,[0.22851328]
[0.00046405],[0.00114599],1,-2,[0.22851328]
[0.0004755],[0.00114599],1,-2,[0.22851328]
[0.00048696],[0.00114599],1,-2,[0.22851328]
[0.00049842],[0.00114599],1,-2,[0.22851328]
[0.00050987],[0.00114599],1,-2,[0.22851328]
[0.00052133],[0.00114599],1,-2,[0.22851328]
[0.00053279],[0.00114599],1,-2,[0.22851328]
[0.00054425],[0.00114599],1,-2,[0.22851328]
[0.0005557],[0.00114599],1,-2,[0.22851328]
[0.00056716],[0.00114598],1,-2,[0.22851328]
[0.00057862],[0.00114598],1,-2,[0.22851328]
[0.00059007],[0.00114598],1,-2,[0.22851328]
[0.00060153],[0.00114598],1,-2,[0.22851328]
[0.00061299],[0.00114598],1,-2,[0.22851328]
[0.00062444],[0.00114598],1,-2,[0.22851328]
[0.0006359],[0.00114598],1,-2,[0.22851328]
[0.00064736],[0.00114598],1,-2,[0.22851328]
[0.00065882],[0.00114598],1,-2,[0.22851328]
[0.00067027],[0.00114598],1,-2,[0.22851328]
[0.00068173],[0.00114598],1,-2,[0.22851328]
[0.00069319],[0.00114598],1,-2,[0.22851328]
[0.00070464],[0.00114598],1,-2,[0.22851328]
[0.0007161],[0.00114598],1,-2,[0.22851328]
[0.00072756],[0.00114598],1,-2,[0.22851328]
[0.00073901],[0.00114598],1,-2,[0.22851328]
[0.00075047],[0.00114598],1,-2,[0.22851328]
[0.00076193],[0.00114598],1,-2,[0.22851328]
[0.00077339],[0.00114598],1,-2,[0.22851328]
[0.00078484],[0.00114598],1,-2,[0.22851328]
[0.0007963],[0.00114598],1,-2,[0.22851328]
[0.00080776],[0.00114598],1,-2,[0.22851328]
[0.00081921],[0.00114598],1,-2,[0.22851328]
[0.00083067],[0.00114598],1,-2,[0.22851328]
[0.00084213],[0.00114598],1,-2,[0.22851328]
[0.00085358],[0.00114598],1,-2,[0.22851328]
[0.00086504],[0.00114598],1,-2,[0.22851328]
[0.0008765],[0.00114598],1,-2,[0.22851328]
[0.00088795],[0.00114598],1,-2,[0.22851328]
[0.00089941],[0.00114598],1,-2,[0.22851328]
[0.00091087],[0.00114598],1,-2,[0.22851328]
[0.00092233],[0.00114597],1,-2,[0.22851328]
[0.00093378],[0.00114597],1,-2,[0.22851328]
[0.00094524],[0.00114597],1,-2,[0.22851328]
[0.0009567],[0.00114597],1,-2,[0.22851328]
[0.00096815],[0.00114597],1,-2,[0.22851328]
[0.00097961],[0.00114597],1,-2,[0.22851328]
[0.00099107],[0.00114597],1,-2,[0.22851328]
[0.00100252],[0.00114597],1,-2,[0.22851328]
[0.00101398],[0.00114597],1,-2,[0.22851328]
[0.00102544],[0.00114597],1,-2,[0.22851328]
[0.00103689],[0.00114597],1,-2,[0.22851328]
[0.00104835],[0.00114597],1,-2,[0.22851328]
[0.00105981],[0.00114597],1,-2,[0.22851328]
[0.00107126],[0.00114597],1,-2,[0.22851328]
[0.00108272],[0.00114597],1,-2,[0.22851328]
[0.00109418],[0.00114597],1,-2,[0.22851328]
[0.00110564],[0.00114597],1,-2,[0.22851328]
[0.00111709],[0.00114597],1,-2,[0.22851328]
[0.00112855],[0.00114597],1,-2,[0.22851328]
[0.00114001],[0.00114597],1,-2,[0.22851328]
[0.00115146],[0.00114597],1,-2,[0.22851328]
[0.00116292],[0.00114597],1,-2,[0.22851328]
[0.00117438],[0.00114597],1,-2,[0.22851328]
[0.00118583],[0.00114597],1,-2,[0.22851328]
[0.00119729],[0.00114597],1,-2,[0.22851328]
[0.00120875],[0.00114597],1,-2,[0.22851328]
[0.0012202],[0.00114597],1,-2,[0.22851328]
[0.00123166],[0.00114597],1,-2,[0.22851328]
[0.00124312],[0.00114597],1,-2,[0.22851328]
[0.00125457],[0.00114597],1,-2,[0.22851328]
[0.00126603],[0.00114597],1,-2,[0.22851328]
[0.00127749],[0.00114597],1,-2,[0.22851328]
[0.00128894],[0.00114596],1,-2,[0.22851328]
[0.0013004],[0.00114596],1,-2,[0.22851328]
[0.00131186],[0.00114596],1,-2,[0.22851328]
[0.00132331],[0.00114596],1,-2,[0.22851328]
[0.00133477],[0.00114596],1,-2,[0.22851328]
[0.00134623],[0.00114596],1,-2,[0.22851328]
[0.00135768],[0.00114596],1,-2,[0.22851328]
[0.00136914],[0.00114596],1,-2,[0.22851328]
[0.0013806],[0.00114596],1,-2,[0.22851328]
[0.00139205],[0.00114596],1,-2,[0.22851328]
[0.00140351],[0.00114596],1,-2,[0.22851328]
[0.00141497],[0.00114596],1,-2,[0.22851328]
[0.00142643],[0.00114596],1,-2,[0.22851328]
[0.00143788],[0.00114596],1,-2,[0.22851328]
[0.00144934],[0.00114596],1,-2,[0.22851328]
[0.0014608],[0.00114596],1,-2,[0.22851328]
[0.00147225],[0.00114596],1,-2,[0.22851328]
[0.00148371],[0.00114596],1,-2,[0.22851328]
[0.00149517],[0.00114596],1,-2,[0.22851328]
[0.00150662],[0.00114596],1,-2,[0.22851328]
[0.00151808],[0.00114596],1,-2,[0.22851328]
[0.00152954],[0.00114596],1,-2,[0.22851328]
[0.00154099],[0.00114596],1,-2,[0.22851328]
[0.00155245],[0.00114596],1,-2,[0.22851328]
[0.00156391],[0.00114596],1,-2,[0.22851328]
[0.00157536],[0.00114596],1,-2,[0.22851328]
[0.00158682],[0.00114596],1,-2,[0.22851328]
[0.00159828],[0.00114596],1,-2,[0.22851328]
[0.00160973],[0.00114596],1,-2,[0.22851328]
[0.00162119],[0.00114596],1,-2,[0.22851328]
[0.00163265],[0.00114596],1,-2,[0.22851328]
[0.0016441],[0.00114595],1,-2,[0.22851328]
[0.00165556],[0.00114595],1,-2,[0.22851328]
[0.00166702],[0.00114595],1,-2,[0.22851328]
[0.00167847],[0.00114595],1,-2,[0.22851328]
[0.00168993],[0.00114595],1,-2,[0.22851328]
[0.00170139],[0.00114595],1,-2,[0.22851328]
[0.00171284],[0.00114595],1,-2,[0.22851328]
[0.0017243],[0.00114595],1,-2,[0.22851328]
[0.00173576],[0.00114595],1,-2,[0.22851328]
[0.00174721],[0.00114595],1,-2,[0.22851328]
[0.00175867],[0.00114595],1,-2,[0.22851328]
[0.00177013],[0.00114595],1,-2,[0.22851328]
[0.00178158],[0.00114595],1,-2,[0.22851328]
[0.00179304],[0.00114595],1,-2,[0.22851328]
[0.0018045],[0.00114595],1,-2,[0.22851328]
[0.00181595],[0.00114595],1,-2,[0.22851328]
[0.00182741],[0.00114595],1,-2,[0.22851328]
[0.00183887],[0.00114595],1,-2,[0.22851328]
[0.00185032],[0.00114595],1,-2,[0.22851328]
[0.00186178],[0.00114595],1,-2,[0.22851328]
[0.00187324],[0.00114595],1,-2,[0.22851328]
[0.00188469],[0.00114595],1,-2,[0.22851328]
[0.00189615],[0.00114595],1,-2,[0.22851328]
[0.00190761],[0.00114595],1,-2,[0.22851328]
[0.00191906],[0.00114595],1,-2,[0.22851328]
[0.00193052],[0.00114595],1,-2,[0.22851328]
[0.00194198],[0.00114595],1,-2,[0.22851328]
[0.00195343],[0.00114595],1,-2,[0.22851328]
[0.00196489],[0.00114595],1,-2,[0.22851328]
[0.00197635],[0.00114595],1,-2,[0.22851328]
[0.0019878],[0.00114595],1,-2,[0.22851328]
[0.00199926],[0.00114594],1,-2,[0.22851328]
[0.00201072],[0.00114594],1,-2,[0.22851328]
[0.00202217],[0.00114594],1,-2,[0.22851328]
[0.00203363],[0.00114594],1,-2,[0.22851328]
[0.00204508],[0.00114594],1,-2,[0.22851328]
[0.00205654],[0.00114594],1,-2,[0.22851328]
[0.002068],[0.00114594],1,-2,[0.22851328]
[0.00207945],[0.00114594],1,-2,[0.22851328]
[0.00209091],[0.00114594],1,-2,[0.22851328]
[0.00210237],[0.00114594],1,-2,[0.22851328]
[0.00211382],[0.00114594],1,-2,[0.22851328]
[0.00212528],[0.00114594],1,-2,[0.22851328]
