Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.0079446],[1.588936],1333,21,[19.6268172]
[0.02383366],[1.588936],1333,21,[19.6268172]
[0.03972244],[1.58893562],1333,21,[19.6268172]
[0.05561095],[1.58893518],1333,21,[19.6268172]
[0.07149922],[1.58893474],1333,21,[19.6268172]
[0.08738726],[1.5889343],1333,21,[19.6268172]
[0.10327509],[1.58893385],1333,21,[19.6268172]
[0.11916272],[1.58893341],1333,21,[19.6268172]
[0.13505018],[1.58893297],1333,21,[19.6268172]
[0.15093747],[1.58893253],1333,21,[19.6268172]
[0.16682461],[1.58893209],1333,21,[19.6268172]
[0.1827116],[1.58893165],1333,21,[19.6268172]
[0.19859847],[1.58893121],1333,21,[19.6268172]
[0.21448521],[1.58893077],1333,21,[19.6268172]
[0.23037184],[1.58893032],1333,21,[19.6268172]
[0.24625837],[1.58892988],1333,21,[19.6268172]
[0.2621448],[1.58892944],1333,21,[19.6268172]
[0.27803114],[1.588929],1333,21,[19.6268172]
[0.2939174],[1.58892856],1333,21,[19.6268172]
[0.30980358],[1.58892812],1333,21,[19.6268172]
[0.32568969],[1.58892768],1333,21,[19.6268172]
[0.34157573],[1.58892723],1333,21,[19.6268172]
[0.35746172],[1.58892679],1333,21,[19.6268172]
[0.37334764],[1.58892635],1333,21,[19.6268172]
[0.38923351],[1.58892591],1333,21,[19.6268172]
[0.40511934],[1.58892547],1333,21,[19.6268172]
[0.42100511],[1.58892503],1333,21,[19.6268172]
[0.43689085],[1.58892459],1333,21,[19.6268172]
[0.45277654],[1.58892415],1333,21,[19.6268172]
[0.4686622],[1.5889237],1333,21,[19.6268172]
[0.48454782],[1.58892326],1333,21,[19.6268172]
[0.50043342],[1.58892282],1333,21,[19.6268172]
[0.51631898],[1.58892238],1333,21,[19.6268172]
[0.53220451],[1.58892194],1333,21,[19.6268172]
[0.54809002],[1.5889215],1333,21,[19.6268172]
[0.5639755],[1.58892106],1333,21,[19.6268172]
[0.57986096],[1.58892062],1333,21,[19.6268172]
[0.5957464],[1.58892017],1333,21,[19.6268172]
[0.61163182],[1.58891973],1333,21,[19.6268172]
[0.62751722],[1.58891929],1333,21,[19.6268172]
[0.6434026],[1.58891885],1333,21,[19.6268172]
[0.65928796],[1.58891841],1333,21,[19.6268172]
[0.67517331],[1.58891797],1333,21,[19.6268172]
[0.69105864],[1.58891753],1333,21,[19.6268172]
[0.70694396],[1.58891709],1333,21,[19.6268172]
[0.72282927],[1.58891664],1333,21,[19.6268172]
[0.73871456],[1.5889162],1333,21,[19.6268172]
[0.75459984],[1.58891576],1333,21,[19.6268172]
[0.77048511],[1.58891532],1333,21,[19.6268172]
[0.78637037],[1.58891488],1333,21,[19.6268172]
